,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
32,1078,19/07/2013 17:44,19/07/2013 18:02,505,6 Ave & W 33 St,40.74901271,-73.98848395,388,W 26 St & 10 Ave,40.74971775,-74.00295035,17331,Subscriber,1996,1
33,297,19/07/2013 17:45,19/07/2013 17:50,388,W 26 St & 10 Ave,40.74971775,-74.00295035,442,W 27 St & 7 Ave,40.746647,-73.993915,16690,Subscriber,1976,1
34,2135,19/07/2013 17:47,19/07/2013 18:22,337,Old Slip & Front St,40.7037992,-74.00838676,388,W 26 St & 10 Ave,40.74971775,-74.00295035,17190,Subscriber,1988,1
35,1748,19/07/2013 17:49,19/07/2013 18:18,388,W 26 St & 10 Ave,40.74971775,-74.00295035,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,14851,Subscriber,1983,1
36,216,19/07/2013 18:01,19/07/2013 18:05,388,W 26 St & 10 Ave,40.74971775,-74.00295035,488,W 39 St & 9 Ave,40.75645824,-73.99372222,15282,Subscriber,1967,1
37,481,19/07/2013 18:01,19/07/2013 18:09,388,W 26 St & 10 Ave,40.74971775,-74.00295035,521,8 Ave & W 31 St,40.75044999,-73.99481051,19532,Subscriber,1963,1
38,2040,19/07/2013 18:06,19/07/2013 18:40,388,W 26 St & 10 Ave,40.74971775,-74.00295035,301,E 2 St & Avenue B,40.72217444,-73.98368779,17331,Subscriber,1979,1
39,1625,19/07/2013 18:10,19/07/2013 18:37,304,Broadway & Battery Pl,40.70463334,-74.01361706,388,W 26 St & 10 Ave,40.74971775,-74.00295035,19515,Subscriber,1975,1
40,453,19/07/2013 18:13,19/07/2013 18:21,446,W 24 St & 7 Ave,40.74487634,-73.99529885,388,W 26 St & 10 Ave,40.74971775,-74.00295035,19666,Subscriber,1966,1
41,726,19/07/2013 18:19,19/07/2013 18:31,497,E 17 St & Broadway,40.73704984,-73.99009296,388,W 26 St & 10 Ave,40.74971775,-74.00295035,15922,Subscriber,1985,2
42,1464,19/07/2013 18:19,19/07/2013 18:44,304,Broadway & Battery Pl,40.70463334,-74.01361706,388,W 26 St & 10 Ave,40.74971775,-74.00295035,17716,Subscriber,1969,1
43,669,19/07/2013 18:21,19/07/2013 18:32,388,W 26 St & 10 Ave,40.74971775,-74.00295035,459,W 20 St & 11 Ave,40.746745,-74.007756,15839,Customer,\N,0
44,396,19/07/2013 18:24,19/07/2013 18:30,388,W 26 St & 10 Ave,40.74971775,-74.00295035,446,W 24 St & 7 Ave,40.74487634,-73.99529885,17190,Subscriber,1976,1
45,764,19/07/2013 18:24,19/07/2013 18:37,79,Franklin St & W Broadway,40.71911552,-74.00666661,388,W 26 St & 10 Ave,40.74971775,-74.00295035,14830,Subscriber,1979,1
46,307,19/07/2013 18:31,19/07/2013 18:36,459,W 20 St & 11 Ave,40.746745,-74.007756,388,W 26 St & 10 Ave,40.74971775,-74.00295035,15325,Subscriber,1964,1
47,331,19/07/2013 18:38,19/07/2013 18:44,225,W 14 St & The High Line,40.74195138,-74.00803013,388,W 26 St & 10 Ave,40.74971775,-74.00295035,15469,Customer,\N,0
